DY,MO,YEAR,pm25
18,9,2017,66
19,9,2017,82
20,9,2017,123
21,9,2017,139
22,9,2017,94
23,9,2017,69
24,9,2017,62
25,9,2017,64
26,9,2017,81
27,9,2017,82
28,9,2017,61
29,9,2017,96
30,9,2017,47
1,4,2017,92
2,4,2017,110
3,4,2017,97
4,4,2017,114
5,4,2017,81
6,4,2017,71
7,4,2017,76
8,4,2017,87
9,4,2017,73
10,4,2017,67
11,4,2017,66
12,4,2017,74
13,4,2017,61
14,4,2017,36
15,4,2017,53
16,4,2017,48
17,4,2017,37
18,4,2017,48
19,4,2017,49
20,4,2017,31
21,4,2017,38
22,4,2017,72
23,4,2017,81
24,4,2017,70
25,4,2017,70
26,4,2017,76
27,4,2017,70
3,5,2017,49
4,5,2017,33
5,5,2017,87
6,5,2017,77
7,5,2017,94
8,5,2017,88
9,5,2017,77
10,5,2017,67
11,5,2017,64
12,5,2017,65
13,5,2017,91
14,5,2017,85
15,5,2017,81
16,5,2017,110
17,5,2017,86
18,5,2017,81
19,5,2017,73
20,5,2017,106
21,5,2017,67
22,5,2017,66
23,5,2017,69
24,5,2017,71
25,5,2017,80
26,5,2017,77
27,5,2017,84
28,5,2017,71
29,5,2017,91
30,5,2017,107
31,5,2017,109
1,6,2017,38
2,6,2017,36
7,6,2017,38
8,6,2017,62
9,6,2017,68
10,6,2017,70
11,6,2017,107
12,6,2017,93
13,6,2017,92
14,6,2017,81
15,6,2017,72
16,6,2017,91
17,6,2017,89
18,6,2017,85
19,6,2017,82
20,6,2017,76
21,6,2017,88
22,6,2017,104
23,6,2017,86
24,6,2017,79
25,6,2017,62
26,6,2017,78
27,6,2017,92
28,6,2017,61
29,6,2017,61
30,6,2017,68
2,1,2017,84
3,1,2017,109
4,1,2017,128
5,1,2017,118
6,1,2017,87
7,1,2017,104
8,1,2017,68
9,1,2017,79
10,1,2017,99
11,1,2017,112
12,1,2017,116
13,1,2017,123
14,1,2017,112
15,1,2017,118
16,1,2017,87
17,1,2017,103
18,1,2017,105
19,1,2017,125
20,1,2017,130
21,1,2017,109
22,1,2017,121
23,1,2017,106
24,1,2017,111
25,1,2017,133
26,1,2017,96
27,1,2017,89
28,1,2017,124
29,1,2017,110
30,1,2017,90
31,1,2017,101
1,2,2017,104
2,2,2017,92
3,2,2017,87
4,2,2017,78
5,2,2017,75
6,2,2017,93
7,2,2017,94
8,2,2017,120
9,2,2017,106
10,2,2017,117
11,2,2017,102
12,2,2017,105
13,2,2017,121
14,2,2017,118
15,2,2017,97
16,2,2017,109
17,2,2017,113
18,2,2017,122
19,2,2017,122
20,2,2017,94
21,2,2017,75
22,2,2017,73
23,2,2017,74
24,2,2017,76
25,2,2017,117
26,2,2017,128
27,2,2017,117
28,2,2017,94
1,3,2017,104
2,3,2017,119
3,3,2017,132
4,3,2017,136
5,3,2017,97
6,3,2017,88
7,3,2017,87
8,3,2017,85
9,3,2017,81
10,3,2017,94
11,3,2017,101
12,3,2017,85
13,3,2017,91
14,3,2017,80
15,3,2017,101
16,3,2017,96
17,3,2017,89
18,3,2017,87
19,3,2017,94
20,3,2017,97
21,3,2017,5
22,3,2017,13
23,3,2017,56
24,3,2017,65
25,3,2017,67
26,3,2017,70
27,3,2017,87
28,3,2017,95
29,3,2017,90
30,3,2017,109
31,3,2017,88
