DY,MO,YEAR,pm25
14,2,2021,63
15,2,2021,68
16,2,2021,67
17,2,2021,59
18,2,2021,94
19,2,2021,84
20,2,2021,88
21,2,2021,100
22,2,2021,73
23,2,2021,85
24,2,2021,73
25,2,2021,76
26,2,2021,80
27,2,2021,102
28,2,2021,59
1,3,2021,51
2,3,2021,60
3,3,2021,66
4,3,2021,68
5,3,2021,56
6,3,2021,64
7,3,2021,63
8,3,2021,87
9,3,2021,84
10,3,2021,86
11,3,2021,82
12,3,2021,74
13,3,2021,91
14,3,2021,99
15,3,2021,95
16,3,2021,79
17,3,2021,70
18,3,2021,60
19,3,2021,58
20,3,2021,48
21,3,2021,59
22,3,2021,78
23,3,2021,98
24,3,2021,77
25,3,2021,57
26,3,2021,61
27,3,2021,63
28,3,2021,57
29,3,2021,57
30,3,2021,74
31,3,2021,76
1,10,2020,60
2,10,2020,76
3,10,2020,75
4,10,2020,45
5,10,2020,50
6,10,2020,67
7,10,2020,63
8,10,2020,48
9,10,2020,58
10,10,2020,83
11,10,2020,50
12,10,2020,46
13,10,2020,58
14,10,2020,49
15,10,2020,51
16,10,2020,40
17,10,2020,37
18,10,2020,44
19,10,2020,56
20,10,2020,63
21,10,2020,56
22,10,2020,102
23,10,2020,70
24,10,2020,85
25,10,2020,70
26,10,2020,97
27,10,2020,87
28,10,2020,79
29,10,2020,58
30,10,2020,72
31,10,2020,78
1,11,2020,63
2,11,2020,63
3,11,2020,102
4,11,2020,97
5,11,2020,110
6,11,2020,87
7,11,2020,73
8,11,2020,81
9,11,2020,93
10,11,2020,83
11,11,2020,71
12,11,2020,100
13,11,2020,86
14,11,2020,80
15,11,2020,90
16,11,2020,90
17,11,2020,103
18,11,2020,84
19,11,2020,85
20,11,2020,68
21,11,2020,110
22,11,2020,92
23,11,2020,95
24,11,2020,95
25,11,2020,90
26,11,2020,90
27,11,2020,98
28,11,2020,72
29,11,2020,74
30,11,2020,75
1,12,2020,82
2,12,2020,72
3,12,2020,77
4,12,2020,88
5,12,2020,109
6,12,2020,80
7,12,2020,84
8,12,2020,90
9,12,2020,88
10,12,2020,108
11,12,2020,118
12,12,2020,92
13,12,2020,121
14,12,2020,66
15,12,2020,105
16,12,2020,90
17,12,2020,77
18,12,2020,65
19,12,2020,60
20,12,2020,58
21,12,2020,54
22,12,2020,58
23,12,2020,93
24,12,2020,103
25,12,2020,78
26,12,2020,72
27,12,2020,104
28,12,2020,93
29,12,2020,95
30,12,2020,75
31,12,2020,71
1,1,2021,61
2,1,2021,74
3,1,2021,85
1,7,2020,101
2,7,2020,57
3,7,2020,52
4,7,2020,77
5,7,2020,80
6,7,2020,61
7,7,2020,52
8,7,2020,82
9,7,2020,104
10,7,2020,55
11,7,2020,68
12,7,2020,47
13,7,2020,54
14,7,2020,67
15,7,2020,57
16,7,2020,53
17,7,2020,42
18,7,2020,79
19,7,2020,113
20,7,2020,73
21,7,2020,84
22,7,2020,53
23,7,2020,73
24,7,2020,78
25,7,2020,100
26,7,2020,50
27,7,2020,64
28,7,2020,71
29,7,2020,62
30,7,2020,63
31,7,2020,57
1,8,2020,39
2,8,2020,37
3,8,2020,46
4,8,2020,54
5,8,2020,56
6,8,2020,55
7,8,2020,48
8,8,2020,52
9,8,2020,54
10,8,2020,49
11,8,2020,45
12,8,2020,62
13,8,2020,62
14,8,2020,74
15,8,2020,79
16,8,2020,82
17,8,2020,77
18,8,2020,71
19,8,2020,63
20,8,2020,84
21,8,2020,70
22,8,2020,61
23,8,2020,56
24,8,2020,65
25,8,2020,73
26,8,2020,63
27,8,2020,67
28,8,2020,60
29,8,2020,58
30,8,2020,55
31,8,2020,67
1,9,2020,107
2,9,2020,69
3,9,2020,62
4,9,2020,56
5,9,2020,73
6,9,2020,70
7,9,2020,71
8,9,2020,71
9,9,2020,76
10,9,2020,83
11,9,2020,59
12,9,2020,8
13,9,2020,7
14,9,2020,39
